  PID TTY           TIME CMD
16058 ??         0:00.11 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
16061 ??         0:02.45 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
16063 ??         0:00.09 /System/Library/Image Capture/Support/icdd
16064 ??         0:00.07 /System/Library/CoreServices/iconservicesagent
16065 ??         0:00.13 /System/Library/CoreServices/AppleIDAuthAgent
16067 ??         0:12.62 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
16069 ??         0:00.04 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
16070 ??         0:00.12 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
16071 ??         0:00.11 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
16072 ??         0:00.06 /System/Library/CoreServices/cloudpaird
16075 ??         0:00.32 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
16076 ??         0:00.23 /System/Library/CoreServices/diagnostics_agent
16078 ??         0:00.16 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
16080 ??         0:03.33 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
16082 ??         0:00.15 /System/Library/CoreServices/mapspushd
16084 ??         0:00.07 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
16085 ??         0:00.17 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
16086 ??         0:00.11 /usr/libexec/fmfd
16087 ??         0:00.05 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
16088 ??         0:00.39 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
16089 ??         0:27.01 /Applications/Dropbox.app/Contents/MacOS/Dropbox
16091 ??         0:58.11 /Applications/Google Drive.app/Contents/MacOS/Google Drive
16092 ??         0:29.70 /Applications/GitHub Desktop.app/Contents/MacOS/GitHub Desktop
16093 ??         0:00.79 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
